10.11646/phytotaxa.104.1.9	0000-0002-0876-3286	Yunfei Deng
10.11646/phytotaxa.108.1.3	0000-0003-3605-0707	Jefferson Carvalho-Sobrinho
10.11646/phytotaxa.110.1.2	0000-0003-0813-6650	Maximilian Weigend
10.11646/phytotaxa.115.1.3	0000-0001-6306-9353	Magnus Lidén
10.11646/phytotaxa.115.2.5	0000-0002-0948-5038	Ronell Klopper
10.11646/phytotaxa.117.1.4	0000-0001-9714-8893	Jorge Paiva
10.11646/phytotaxa.117.1.4	0000-0002-8511-8213	Estrela Figueiredo
10.11646/phytotaxa.118.2.1	0000-0001-9341-5827	Anderson Machado
10.11646/phytotaxa.118.2.1	0000-0002-7204-0744	Vidal Mansano
10.11646/phytotaxa.119.1.4	0000-0003-2659-3396	Gabriel Emiliano Ferreira
10.11646/phytotaxa.76.1.2	0000-0002-0948-5038	Ronell Klopper
10.11646/phytotaxa.76.1.2	0000-0002-8511-8213	Estrela Figueiredo
10.11646/phytotaxa.76.1.2	0000-0002-0437-3272	Abraham Erasmus van Wyk
10.11646/phytotaxa.76.1.2	0000-0002-2002-5809	Nina Rønsted
10.11646/phytotaxa.77.2.2	0000-0001-5028-0686	Cassio van den Berg
10.11646/phytotaxa.79.2.2	0000-0001-5347-5403	Marta Kolanowska
10.11646/phytotaxa.81.1.11	0000-0002-0876-3286	Yunfei Deng
10.11646/phytotaxa.81.2.1	0000-0001-5745-7077	Koen Thijs
10.11646/phytotaxa.88.3.1	0000-0001-9008-273X	Lorenzo Peruzzi
10.11646/phytotaxa.89.1.3	0000-0002-7204-0744	Vidal Mansano
10.11646/phytotaxa.89.2.2	0000-0003-3849-9057	Francois Roets
10.11646/phytotaxa.94.1.1	0000-0002-2203-2076	Claudia  Baider
